REASON,CASES,MIN_CONDS,MAX_CONDS,MEDIAN_CONDS,MEAN_CONDS,STD_CONDS,MIN_OBS,MAX_OBS,MEDIAN_OBS,MEAN_OBS,STD_OBS
Myocardial infarction (disorder),483,1,2,2,1.5403726708074534,0.4988840927577792,0,34,34,18.302277432712216,16.967620340836113
Acute Cholecystitis,16,0,2,2,1.875,0.49999999999999994,0,24,24,22.5,6.0
Burn injury (morphologic abnormality),440,0,2,2,1.9181818181818182,0.3789884193377561,0,0,0,0.0,0.0
Concussion injury of brain (disorder),930,1,4,2,1.9150537634408602,0.3012161344396196,0,23,0,0.025806451612903226,0.7548769638350592
Fracture of bone (disorder),1693,0,4,2,2.0248080330773774,0.5287022240657986,0,26,0,0.3668044890726521,1.1074683107297558
Gunshot wound (disorder),68,0,2,2,1.9705882352941178,0.24253562503633297,0,0,0,0.0,0.0
Injury of knee (disorder),249,0,3,2,2.0,0.15554275420956384,0,0,0,0.0,0.0
Injury of neck (disorder),533,2,2,2,2.0,0.0,0,0,0,0.0,0.0
Laceration - injury (disorder),1634,0,3,2,1.9987760097919216,0.12122449358196234,0,26,0,0.033047735618115054,0.8615823827420414
Seizure disorder,502,0,4,2,1.8585657370517927,1.029464298156568,0,0,0,0.0,0.0
Sprain (morphologic abnormality),1688,1,4,2,2.0112559241706163,0.12121235399239787,0,25,0,0.03613744075829384,0.851372063265479
Traumatic injury of spinal cord and/or vertebral column (disorder),34,1,3,2,1.9411764705882353,0.5472341734958729,0,22,0,0.6470588235294118,3.7729688731351945
Suspected lung cancer (situation),112,1,1,1,1.0,0.0,0,1,1,0.6160714285714286,0.4885266637127406
Acute allergic reaction,134,1,1,1,1.0,0.0,0,0,0,0.0,0.0
Acute respiratory failure (disorder),2,1,1,1,1.0,0.0,0,0,0,0.0,0.0
Appendicitis,87,1,2,1,1.3448275862068966,0.4780674810520527,0,0,0,0.0,0.0
Drug overdose,1938,0,3,1,0.8065015479876161,0.40926169753011704,0,2,0,0.0010319917440660474,0.045431085042425476
Pneumonia,54,1,1,1,1.0,0.0,0,0,0,0.0,0.0
Sepsis (disorder),409,1,3,1,1.3496332518337408,0.5878726289862568,0,7,0,2.3643031784841075,3.076125183270608
Stroke,103,0,1,1,0.6504854368932039,0.47914830206739945,0,0,0,0.0,0.0
Suicidal deliberate poisoning,1,1,1,1,1.0,0.0,0,0,0,0.0,0.0
Pyelonephritis,17,0,2,0,0.23529411764705882,0.5622957145383871,0,48,42,35.411764705882355,15.128858282804305
Chronic congestive heart failure (disorder),458,0,1,0,0.043668122270742356,0.2045790766127213,38,38,38,38.0,0.0
Acute infective cystitis (disorder),459,0,2,0,0.1721132897603486,0.4267349639946154,0,48,22,23.311546840958606,12.40214525760383
Chronic intractable migraine without aura,1183,0,3,0,0.45646661031276414,0.5050573591850006,0,3,1,0.599323753169907,0.49539286824779233
Chronic pain,1191,0,1,0,0.4441645675902603,0.4970813501762755,0,1,1,0.5843828715365239,0.49303512191066207
Chronic pain (finding),10,0,0,0,0.0,0.0,1,1,1,1.0,0.0
Impacted molars,1200,0,2,0,0.4725,0.5027800113202127,0,3,1,0.5916666666666667,0.5018038077178061
Asthma,337,0,0,0,0.0,0.0,0,0,0,0.0,0.0
At risk for suicide (finding),1,0,0,0,0.0,0.0,0,0,0,0.0,0.0
Childhood asthma,143,0,0,0,0.0,0.0,0,0,0,0.0,0.0
Normal pregnancy,3014,0,2,0,0.00829462508294625,0.09775548513097161,0,0,0,0.0,0.0
Oxygen Therapy,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0
Primary fibromyalgia syndrome,84,0,1,0,0.023809523809523808,0.1533709949008578,0,0,0,0.0,0.0
